no,category,color,도로명전체주소,brand,상세영업상태명,소재지전체주소,영업상태명,openDate,closeDate,latitude,longitude
0,bakery,navy,"인천광역시 연수구 인천타워대로 323, 지상1층 디156호 (송도동, 송도센트로드상가)",앙그미,폐업,인천광역시 연수구 송도동 30-3번지 외1필지 송도센트로드 상가동 디156호 ,폐업,20150914,20170314,37.3994143,126.6297563
1,bakery,navy,"인천광역시 연수구 아트센터대로 203, 125호 (송도동, 송도센트럴파크푸르지오시티)",브레드(BREAD) 바띠,폐업,인천광역시 연수구 송도동 83번지 송도센트럴파크푸르지오시티 125호 ,폐업,20150921,20170718,37.4001714,126.6378289
2,bakery,navy,"인천광역시 연수구 송도국제대로 165 (송도동, 지하1층 홈플러스 매장내)",몽블랑제 인천송도점,영업,인천광역시 연수구 송도동 168-3번지 지하1층 홈플러스 매장내 ,운영중,20151012,,37.3803688,126.6558474
3,bakery,navy,"인천광역시 연수구 컨벤시아대로 116 (송도동, 송도푸르지오월드마크 7단지 123,124호)",외계인방앗간송도점,영업,"인천광역시 연수구 송도동 22-21번지 송도푸르지오월드마크 7단지 123,124호 ",운영중,20160205,,37.3932555,126.6462388
4,bakery,navy,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬 캠퍼스타운 302동 D-115,116호)",파리바게뜨 송도캠퍼스타운점,영업,"인천광역시 연수구 송도동 149번지 롯데캐슬 캠퍼스타운 302동 D-115,116호 ",운영중,20160510,,37.3880544,126.6651321
5,bakery,navy,"인천광역시 연수구 센트럴로 160, 1층 142일부호 (송도동, 송도센트럴파크푸르지오판매시설동)",대왕카스테라,폐업,인천광역시 연수구 송도동 23-5번지 송도센트럴파크푸르지오판매시설동 142일부호 ,폐업,20161206,20170510,37.3943277,126.640779
6,bakery,navy,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬 캠퍼스타운 302동 D-109호)",바켄베이커리,영업,인천광역시 연수구 송도동 149번지 롯데캐슬 캠퍼스타운 302동 D-109호 ,운영중,20160503,,37.3880544,126.6651321
7,bakery,navy,"인천광역시 연수구 송도국제대로 123, 지하1층 (송도동, 현대프리미엄아울렛)",대만락카스테라,폐업,인천광역시 연수구 송도동 168-1번지 현대프리미엄아울렛 지하1층 ,폐업,20161209,20170809,37.3848777,126.6587343
8,bakery,navy,"인천광역시 연수구 아트센터대로97번길 30, 상가동 101,102호 (송도동, 더샵그린워크1차)",뚜레쥬르 송도그린워크점,영업,"인천광역시 연수구 송도동 18-6번지 더샵그린워크1차 상가동 101,102호 ",운영중,20160707,,37.3987054,126.6402528
9,bakery,navy,"인천광역시 연수구 컨벤시아대로130번길 14, 지상1층 101,102호 (송도동, 송도플러스메디타워)",샹끄발레르,영업,"인천광역시 연수구 송도동 22-19번지 송도플러스메디타워 101호,102호 ",운영중,20150507,,37.3930369,126.6448037
